Class,Subject,Chapter,Topic,Total Questions,Total Answers
"class-2","আমার বাংলা বই","পাঠ ১৯-প্রজাপতি","সংক্ষিপ্ত",1,1
"class-2","আমার বাংলা বই","পাঠ ২-স্কুলে কেমন লাগছে","MCQ",2,2
"class-2","আমার বাংলা বই","পাঠ ২০-বিড়াল ছানা","CQ",1,1
"class-2","আমার বাংলা বই","পাঠ ২০-বিড়াল ছানা","MCQ",7,7
"class-2","আমার বাংলা বই","পাঠ ২০-বিড়াল ছানা","সংক্ষিপ্ত",2,2
"class-2","আমার বাংলা বই","পাঠ ২১-ছয় ঋতু","CQ",1,1
"class-2","আমার বাংলা বই","পাঠ ২১-ছয় ঋতু","MCQ",14,14
"class-2","আমার বাংলা বই","পাঠ ২১-ছয় ঋতু","সংক্ষিপ্ত",2,2
"class-2","আমার বাংলা বই","পাঠ ২২-নববর্ষ","CQ",1,1
"class-2","আমার বাংলা বই","পাঠ ২২-নববর্ষ","MCQ",7,7
"class-2","আমার বাংলা বই","পাঠ ২২-নববর্ষ","সংক্ষিপ্ত",2,2
"class-2","আমার বাংলা বই","পাঠ ২৩-আমাদের ছোটো নদী","CQ",1,1
"class-2","আমার বাংলা বই","পাঠ ২৩-আমাদের ছোটো নদী","সংক্ষিপ্ত",1,1
"class-2","আমার বাংলা বই","পাঠ ২৫-সবাই মিলে কাজ করি","CQ",1,1
"class-2","আমার বাংলা বই","পাঠ ২৫-সবাই মিলে কাজ করি","সংক্ষিপ্ত",1,1
"class-2","আমার বাংলা বই","পাঠ ২৬- মুক্তিসেনা","CQ",1,1
"class-2","আমার বাংলা বই","পাঠ ২৬- মুক্তিসেনা","সংক্ষিপ্ত",1,1
"class-2","আমার বাংলা বই","পাঠ ২৭-দুখু মিয়ার জীবন","CQ",1,1
"class-2","আমার বাংলা বই","পাঠ ২৭-দুখু মিয়ার জীবন","সংক্ষিপ্ত",1,1
"class-2","আমার বাংলা বই","পাঠ ২৮-স্কুলের মাঠে","CQ",1,1
"class-2","আমার বাংলা বই","পাঠ ২৯-বাক্য নিয়ে খেলা","CQ",1,1
"class-2","আমার বাংলা বই","পাঠ ৩-আমার বাড়ি আমার কাজ","MCQ",2,2
"class-2","আমার বাংলা বই","পাঠ ৪- ডালিমকুমার ও কঙ্কাবতী","MCQ",2,2
"class-2","আমার বাংলা বই","পাঠ ৮-সিংহ আর ইঁদুরের গল্প","MCQ",1,1
"class-2","আমার বাংলা বই","পাঠ ৮-সিংহ আর ইঁদুরের গল্প","সংক্ষিপ্ত",1,1
"class-2","প্রাথমিক গণিত","১ম অধ্যায়-সংখ্যা ও স্থানীয় মান","MCQ",79,79
"class-2","প্রাথমিক গণিত","১ম অধ্যায়-সংখ্যা ও স্থানীয় মান","সংক্ষিপ্ত",15,15
"class-2","প্রাথমিক গণিত","১ম অধ্যায়-সংখ্যা ও স্থানীয় মান","True False",11,11
"class-2","প্রাথমিক গণিত","২য় অধ্যায়-যোগ ও বিয়োগ","MCQ",26,26
"class-2","প্রাথমিক গণিত","২য় অধ্যায়-যোগ ও বিয়োগ","সংক্ষিপ্ত",2,2
"class-2","প্রাথমিক গণিত","৩য় অধ্যায়-গুণ","MCQ",3,3
"class-3","English For Today","Unit 4_ Let's Play with Sounds, and Numbers","Lesson-1 Say the middle sounds æande",5,5
